fsd_no;fsd_vr;fsd_id;Syvu;ika;ika5;sukup;lisco2010_1;ltytyy_2012;toimi;tysuhpy;taikao;tsuhaika;vuokraty;sivutyo;sivutuni;vastaustapa;palkansa;ika10;toimi2;sose;tb_paino;K2;K3;K21c_4;K21c_5;K21c_10;K21c_12;K26_1;K26_2;K26_3;K20b_2;K20b_2a;K20b_5;K21b_1;K21b_2;K52c;K52a;K52b;K53;K53_1;K22_6;K22_8;K64;K42a;K43g;K43a;K43a_4;K43a_5;K20a_02;K20a_13;K44C;K44E;K44H;K44G;K44I;K11a_1;K11a_2;K11a_3;K11a_4;K21b_4;K21b_6;K65_1;K48;K47;K47a;K33a;K33_1;K33_2;K33b;K33_4;K33_3;K33b_1;K33_9;K33_5;K33_7;K33_6;K33_8;K33_10;K9a_07;K9a_07c;K9a_07b;K9a_11;K9a_09b;K9a_10b;K21c_8;K21c_9;K28a;K28b;K32;K55;K56a;K56b;K56c;K56d;K57a;K57b;K57c;K57d;K69;K22_1;K22_2;K23;K68_1;K68_2;K68_3;K68_4;K68_5;K68_6;K68_7;K68_8;K13_1;K13_2;K40
3784;1,0;1124;1965;57;9;1;8;3;1;1;1;36;2;2; ;2;1;5;3;3;,7783846626369;7;2;2;1;2;2;1;1;2;2;2;2;1;1;1;2;2;1;1;2; ;1;2;5;5; ; ;1;1;1;2;1;2;2;3;3;3;3;3;3;4;1;1;2;2; ; ;2; ; ; ;2;2;2;2;2;2;1;1;4;1;1;1;2;3;2;2;22;1;2;3;2;2;2;3;3;3;2;3;3;2;0;1;0;1;1;1;0;1;2;1;2
3784;1,0;1125;1966;55;9;1;3;3;1;1;1;2;2;2; ;1;2;5;3;2;,5923058530308;7;1;1;2;2;2;2;1;2;2;2;2;2; ;2;2;2;2;1;1;1;1;4;5;1; ;1;1;2;2;1;2;2;2;2;2;2;1;3;2;1;1;2; ;2; ; ;2; ; ; ;2;2;2;2;2;2;1;1;1;1;1;1;3;3;3;2;0;2;2;2;2;2;4;4;4;4;2;3;3;2;1;0;0;0;0;0;0;0;1; ;1
3784;1,0;1126;1976;46;7;1;3;2;4;1;1;11;2;2; ;1;2;4;17;2;,7136848611112;11;1;3;2;2;2;2;1;2;2;2;2;1;10;1;1;2;1;2;1;1;1;4;5;5; ; ;1;1;2;1;1;1;2;2;2;2;2;3;3;2;1;2; ;2; ; ;2; ; ; ;2;2;2;2;2;2;1;1;2;1;1;1;2;2;4;4;15;3;4;4;4;3;2;2;2;2;3;4;4;4;0;0;0;0;0;1;0;0;2;1;1
3784;1,0;1127;1968;54;8;1;2;3;1;1;1;6;2;2; ;1;3;4;6;1;,7158357458502;6;1;3;2;2;3;3;2;3;2;2;2;1;5;1;2;2;1;2;1;1;1;2;5;3; ;2;1;1;2;2;2;2;2;2;2;2;3;2;2;1;1;1;2;2; ; ;1;2;1;1;3;2;2;2;2;1;2;2;2;1;1;1;4;3;2;2;7;2;2;2;2;2;3;3;3;3;2;3;3;1;1;1;1;0;0;0;1;0;1; ;1
3784;1,0;1128;1961;61;10;1;2;3;2;1;1;3;2;2; ;1;3;5;10;1;,5603245763608;2;1;1;1;1;1;1;2;2;1;2;2;2; ;2;2;2;2;2;2; ;2;1;1;2;3;1;1;2;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;2; ; ;2; ; ; ;2;2;2;2;2;2;1;1;2;1;1;1;3;2;2;1;0;3;3;2;2;1;4;4;4;4;1;3;3;2;1;0;0;0;0;0;0;0;1; ;1
3784;1,0;1129;1967;55;9;1;2;3;1;1;1;11;2;2; ;1;3;5;3;1;,5160495627731;11;1;2;2;2;2;2;1;2;2;2;2;1;30;1;1;1;1;1;1;1;1;2;5;2;3;1;1;2;2;2;2;2;2;1;1;3;1;3;1;1;1;2; ;1;2;1;3; ; ; ;1;2;3;1;3;3;2;2;1;1;2;1;4;4;1;1;3;2;2;2;3;2;4;4;4;4;2;3;3;2;1;0;0;0;0;0;0;0;2;1;2
3784;1,0;1130;1991;31;4;1;3;3;1;1;1;4;2;2; ;1;2;2;3;2;,9709034316773;7;1;2;2;2;1;2;2;3;2;2;2;2; ;2;2;2;1;2;1;1;1;1;5;3; ;1;1;2;2;3;3;2;3;3;3;3;2;2;2;1;1;2; ;1;1;1;2; ; ; ;2;2;2;2;2;2;2;1;1;1;1;1;4;2;1;2;3;3;3;2;4;2;3;3;2;4;2;4;4;1;1;0;0;0;0;0;0;0;1; ;2
3784;1,0;1131;1989;33;4;1;4;3;2;1;1;6;2;2; ;1;2;2;13;2;1,2722275228087;1;2;1;1;1;1;3;2;3;2;2;1;2; ;2;2;2;1;1;1;1;1;3;4;5; ; ;1;2;2;2;1;1;1;2;1;1;4;2;1;2;1;2; ;2; ; ;2; ; ; ;2;2;2;2;2;2;1;2;1;1;1;1;4;3;2;2;0;3;2;3;3;2;4;3;3;4;1;3;3;2;1;0;1;1;0;0;0;0;2;2;1
3784;1,0;1132;1991;31;4;1;3;2;4;1;1;0;2;1;5;1;2;2;17;2;,8978750281747;3;2;2;2;1;2;2;1;2;2;3;3;2; ;1;2;1;1;1;2; ;1;2;5;5; ; ;2;2;3;3;1;2;3;4;3;4;4;3;2;5;1;2; ;2; ; ;2; ; ; ;2;2;2;2;2;2;1;1;2;3;2;2;3;2;1;1;4;2;1;2;1;2;4;4;3;4;2;4;4;1;1;1;0;0;1;0;0;0;2;1;2
3784;1,0;1133;1983;39;5;1;3;3;1;1;1;2;2;1;20;1;2;3;6;2;,8628994000970;4;1;1;1;1;1;1;1;2;2;2;2;2; ;1;2;1;2;1;1;2;3;1;1;3; ;2;2;3;3;3;3;2;3;1;2;1;3;3;1;2;1;1;2;3; ; ;2; ; ; ;3;3;3;3;2;2;4;1;2;1;1;1;2;1;2;2;0;3;3;4;4;2;2;3;4;2;2;4;4;3;1;0;0;0;0;0;0;0;2;2;1
